x	interp	deriv	integ
6.61	0.94707	-0.321078	0.321028
6.62	0.943812	-0.330507	0.330482
6.63	0.94046	-0.339895	0.339904
6.64	0.937014	-0.349312	0.349291
6.65	0.933474	-0.358657	0.358644
6.66	0.929841	-0.367961	0.36796
6.67	0.926115	-0.377199	0.37724
6.68	0.922297	-0.386444	0.386482
6.69	0.918386	-0.395725	0.395686
6.7	0.914383	-0.404858	0.40485
6.71	0.910289	-0.413945	0.413973
6.72	0.906104	-0.423062	0.423055
6.73	0.901828	-0.432107	0.432095
6.74	0.897462	-0.441108	0.441092
6.75	0.893006	-0.450059	0.450044
