x	math	gsl	my
-4.4841	-0.0616523	-0.0616523	-0.0616523
-4.4831	-0.0617615	-0.0617615	-0.0617615
-4.4821	-0.0618715	-0.0618715	-0.0618715
-4.4811	-0.0619823	-0.0619823	-0.0619823
-4.4801	-0.0620939	-0.0620939	-0.0620939
-4.4791	-0.0622063	-0.0622063	-0.0622063
-4.4781	-0.0623195	-0.0623195	-0.0623195
-4.4771	-0.0624336	-0.0624336	-0.0624336
-4.4761	-0.0625484	-0.0625484	-0.0625484
-4.4751	-0.0626641	-0.0626641	-0.0626641
-4.4741	-0.0627806	-0.0627806	-0.0627806
-4.4731	-0.0628979	-0.0628979	-0.0628979
-4.4721	-0.063016	-0.063016	-0.063016
-4.4711	-0.063135	-0.063135	-0.063135
-4.4701	-0.0632549	-0.0632549	-0.0632549
-4.4691	-0.0633755	-0.0633755	-0.0633755
